"id","date","invoices_distribution_types_id","clients_id","invoices_types_id","invoices_status_id","id","products_id","number","price","value",""
"6364","2020-10-03 15:50:00","1","1296","4","1","43150","24807","1.00000","5.37000","5.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","44778","25456","1.00000","13.77000","13.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","45509","25615","1.00000","5.37000","5.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","46054","25774","1.00000","11.97000","11.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","54619","27182","1.00000","13.77000","13.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","54621","27503","1.00000","10.77000","10.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","55338","27804","1.00000","10.17000","10.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","55341","27575","1.00000","17.37000","17.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","55366","27825","1.00000","5.97000","5.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","55889","27896","1.00000","17.97000","17.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","55892","28075","1.00000","5.37000","5.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","56644","28355","1.00000","25.77000","25.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","57541","28557","1.00000","9.57000","9.5700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","58207","28971","1.00000","5.37000","5.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","58208","28972","1.00000","5.37000","5.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","58211","28928","1.00000","13.77000","13.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","59081","29304","1.00000","3.57000","3.5700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","59084","29178","1.00000","5.37000","5.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","59085","29201","1.00000","5.97000","5.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","59086","29205","1.00000","7.77000","7.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","59992","29451","1.00000","19.17000","19.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","61104","30045","1.00000","11.97000","11.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","61946","30146","1.00000","11.97000","11.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","62409","30470","1.00000","14.97000","14.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","62975","30721","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","62980","30799","1.00000","5.37000","5.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","62989","30833","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","62991","30860","1.00000","6.57000","6.5700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","63004","30882","1.00000","28.17000","28.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","63006","30743","1.00000","19.77000","19.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","63007","30941","1.00000","28.17000","28.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","63008","30749","1.00000","8.10000","8.1000000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","63010","30927","1.00000","6.57000","6.5700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","63011","30940","1.00000","20.97000","20.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","63741","30688","1.00000","14.97000","14.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","63787","11401","1.00000","16.17000","16.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","63790","31126","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","64616","31483","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","64618","20037","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","64621","31354","1.00000","8.37000","8.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","65283","31733","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","65284","31735","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","65285","31716","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","65286","31738","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","65289","31527","1.00000","19.77000","19.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","65348","31526","1.00000","13.77000","13.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66058","31871","1.00000","16.17000","16.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66064","31857","1.00000","17.97000","17.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66703","32239","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66704","32236","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66705","32240","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66706","32256","1.00000","11.97000","11.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66707","32237","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66708","32229","1.00000","17.37000","17.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66709","32265","1.00000","17.37000","17.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66710","32241","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66711","32252","1.00000","7.17000","7.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66712","32242","1.00000","8.37000","8.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66713","32187","1.00000","14.97000","14.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66714","32202","1.00000","10.17000","10.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66717","32205","1.00000","10.17000","10.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66733","19760","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66741","32344","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","66742","32270","1.00000","11.37000","11.3700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","67483","31001","1.00000","10.19400","10.1940000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","67532","31303","1.00000","14.97000","14.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","67538","31306","1.00000","17.97000","17.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","67950","32774","1.00000","10.17000","10.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","67952","32790","1.00000","8.97000","8.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","67953","32498","0.00000","4.19400","0.0000000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","67958","32788","1.00000","17.97000","17.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","67959","32776","1.00000","16.17000","16.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","67969","32548","1.00000","13.77000","13.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","69687","32950","1.00000","20.97000","20.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","69692","33178","1.00000","13.17000","13.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","69715","33026","1.00000","16.17000","16.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","70689","33417","1.00000","10.77000","10.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","70691","32878","1.00000","16.17000","16.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","70699","33432","1.00000","10.17000","10.1700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","70797","33275","1.00000","13.77000","13.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","70799","33431","1.00000","4.77000","4.7700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","70800","33282","1.00000","14.97000","14.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","70804","33297","1.00000","11.97000","11.9700000000",
"6364","2020-10-03 15:50:00","1","1296","4","1","70808","32651","1.00000","10.77000","10.7700000000",
